Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-tjbf,checkpoint-pkst,checkpoint-agtd,checkpoint-pcn8,checkpoint-aey2,checkpoint-3te2,checkpoint-y7bn,Question Key,Response
4,1574787231374,26/11/2019 16:53:51,1574787231169,0,26/11/2019 16:53:51,9424,11,questionnaire-9476,,3422972,p104,932404,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 77.0.3865.120,1440x900,1440x789,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2,6
5,1574787231374,26/11/2019 16:53:51,1574787231169,0,26/11/2019 16:53:51,9424,11,questionnaire-9476,,3422972,p104,932404,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 77.0.3865.120,1440x900,1440x789,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2-quantised,6
6,1574787231374,26/11/2019 16:53:51,1574787231169,0,26/11/2019 16:53:51,9424,11,questionnaire-9476,,3422972,p104,932404,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 77.0.3865.120,1440x900,1440x789,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3,2
7,1574787231374,26/11/2019 16:53:51,1574787231169,0,26/11/2019 16:53:51,9424,11,questionnaire-9476,,3422972,p104,932404,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 77.0.3865.120,1440x900,1440x789,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3-quantised,2
8,1574787231374,26/11/2019 16:53:51,1574787231169,0,26/11/2019 16:53:51,9424,11,questionnaire-9476,,3422972,p104,932404,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 77.0.3865.120,1440x900,1440x789,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4,1
9,1574787231374,26/11/2019 16:53:51,1574787231169,0,26/11/2019 16:53:51,9424,11,questionnaire-9476,,3422972,p104,932404,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 77.0.3865.120,1440x900,1440x789,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4-quantised,1
10,1574787231374,26/11/2019 16:53:51,1574787231170,0,26/11/2019 16:53:51,9424,11,questionnaire-9476,,3422972,p104,932404,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 77.0.3865.120,1440x900,1440x789,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,END QUESTIONNAIRE,18531
1,1574871134017,27/11/2019 16:12:14,1574871133871,0,27/11/2019 16:12:13,9424,11,questionnaire-9476,,3429879,p107,936338,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 78.0.3904.97,1280x800,1280x800,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,BEGIN QUESTIONNAIRE,
2,1574871153839,27/11/2019 16:12:33,1574871153757,0,27/11/2019 16:12:33,9424,11,questionnaire-9476,,3429879,p107,936338,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 78.0.3904.97,1280x800,1280x800,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1,7
3,1574871153980,27/11/2019 16:12:33,1574871153759,0,27/11/2019 16:12:33,9424,11,questionnaire-9476,,3429879,p107,936338,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 78.0.3904.97,1280x800,1280x800,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1-quantised,7
4,1574871153980,27/11/2019 16:12:33,1574871153760,0,27/11/2019 16:12:33,9424,11,questionnaire-9476,,3429879,p107,936338,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 78.0.3904.97,1280x800,1280x800,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2,2
5,1574871153980,27/11/2019 16:12:33,1574871153760,0,27/11/2019 16:12:33,9424,11,questionnaire-9476,,3429879,p107,936338,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 78.0.3904.97,1280x800,1280x800,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2-quantised,2
6,1574871153980,27/11/2019 16:12:33,1574871153760,0,27/11/2019 16:12:33,9424,11,questionnaire-9476,,3429879,p107,936338,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 78.0.3904.97,1280x800,1280x800,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3,1
7,1574871153980,27/11/2019 16:12:33,1574871153760,0,27/11/2019 16:12:33,9424,11,questionnaire-9476,,3429879,p107,936338,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 78.0.3904.97,1280x800,1280x800,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3-quantised,1
8,1574871153980,27/11/2019 16:12:33,1574871153761,0,27/11/2019 16:12:33,9424,11,questionnaire-9476,,3429879,p107,936338,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 78.0.3904.97,1280x800,1280x800,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4,1
9,1574871153980,27/11/2019 16:12:33,1574871153761,0,27/11/2019 16:12:33,9424,11,questionnaire-9476,,3429879,p107,936338,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 78.0.3904.97,1280x800,1280x800,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4-quantised,1
